Date,Close,Open,High,Low,Volume,Change %,Vol.
11/16/2012,2177.24,2189.51,2191.61,2162.98,30250,-0.75%,30.25
11/19/2012,2174.99,2175.18,2176.49,2149.54,26980,-0.10%,26.98
11/20/2012,2164.88,2180.2,2184.33,2163.53,23950,-0.46%,23.95
11/21/2012,2194.9,2165.41,2195.46,2151.38,30510,1.39%,30.51
11/22/2012,2177.55,2181.18,2185.58,2169.66,22910,-0.79%,22.91
11/23/2012,2192.68,2184.41,2202.47,2179.73,28670,0.69%,28.67
11/26/2012,2175.6,2187.24,2191.36,2172.1,24740,-0.78%,24.74
11/27/2012,2150.64,2168.59,2173.46,2150.22,31950,-1.15%,31.95
11/28/2012,2129.16,2142.5,2144.8,2126.03,30010,-1.00%,30.01
11/29/2012,2115.68,2128.8,2140.88,2114.48,29670,-0.63%,29.67
11/30/2012,2139.66,2114.24,2142.86,2109.96,36410,1.13%,36.41
12/3/2012,2108.85,2136.7,2152.61,2108.15,40190,-1.44%,40.19
12/4/2012,2131.47,2104.93,2135.66,2102.14,36230,1.07%,36.23
12/5/2012,2207.88,2128.39,2219.09,2126.79,82490,3.58%,82.49
12/6/2012,2203.6,2205.61,2216.98,2191.23,48580,-0.19%,48.58
12/7/2012,2246.76,2203.89,2250.53,2198.11,76170,1.96%,76.17
12/10/2012,2271.05,2254.91,2276.28,2250.44,73380,1.08%,73.38
12/11/2012,2258.5,2263.21,2274.99,2254.3,51470,-0.55%,51.47
12/12/2012,2267.77,2257.73,2273.21,2247.95,45010,0.41%,45.01
12/13/2012,2242.64,2260.6,2266.72,2242.56,41940,-1.11%,41.94
12/14/2012,2355.86,2245.64,2357.11,2245.64,110890,5.05%,110.89
12/17/2012,2366.7,2359.2,2380,2358.66,94090,0.46%,94.09
12/18/2012,2368.12,2361.09,2398.63,2347.08,85790,0.06%,85.79
12/19/2012,2371.11,2362.8,2387.14,2358.03,63290,0.13%,63.29
12/20/2012,2384.82,2361.32,2391.92,2346.55,65660,0.58%,65.66
12/21/2012,2372,2386.38,2414.22,2365.03,68710,-0.54%,68.71
12/24/2012,2381.22,2368.01,2396.72,2367.04,53090,0.39%,53.09
12/25/2012,2448.39,2373.88,2459.3,2365.41,95500,2.82%,95.5
12/26/2012,2457.62,2445.99,2458.01,2441.64,71590,0.38%,71.59
12/27/2012,2444.59,2464.78,2479.79,2443.68,73260,-0.53%,73.26
12/28/2012,2480.05,2448.08,2481.59,2444.38,67170,1.45%,67.17
12/31/2012,2522.95,2485.56,2522.95,2485.56,82000,1.73%,82
1/4/2013,2524.41,2551.81,2558.53,2498.89,97990,0.06%,97.99
